word,occurrence
officers,washington
officers,white
officers,would
officers,wrestled
officers,yells
people,according
people,activity
people,afraid
people,allegedly
people,already
people,also
people,amazing
people,arrested
people,assembled
people,attacking
people,attended
people,away
people,barbershop
people,behind
people,british
people,buy
people,campaigning
people,center
people,charge
people,citi
people,cold
people,color
people,community
people,considered
people,courtroom
people,dead
people,deemed
people,detained
people,die
people,died
people,digging
people,dozens
people,elsewhere
people,empowered
people,encounter
people,establish
people,explain
people,eye
people,facebook
people,florida
people,following
people,gathered
people,gave
people,gay
people,get
people,getting
people,great
people,gunned
people,guns
people,high
people,highest
people,hodeidah
people,hold
people,hostage
people,ignore
people,including
people,injured
people,instead
people,islamic
people,joined
people,keep
people,killed
people,knew
people,kunduz
people,last
people,latinos
people,leading
people,left
people,liberals
people,limited
people,little
people,live
people,look
people,looked
people,los
people,lost
people,lower
people,make
people,many
people,marched
people,marjory
people,massacre
people,may
people,mental
people,military
people,misdemeanor
people,mostly
people,must
people,mute
people,need
people,new
people,nine
people,obama
people,officer
people,opposed
people,orlando
people,others
people,particularly
people,passionate
people,patients
people,perpetrators
people,police
people,pose
people,post
people,poured
people,power
people,pulse
people,push
people,responded
people,running
people,said
people,saturday
people,saw
people,saying
people,screaming
people,see
people,seem
people,sell
people,separate
people,shot
people,slippage
people,started
people,staunchly
people,still
people,suffering
people,supreme
people,sustained
people,swat
people,tagbara
people,take
people,taken
people,telling
people,tennessee
people,think
people,throwing
people,times
people,treated
people,triple
people,trust
people,urgent
people,using
people,vehicle
people,vermont
people,visibly
people,washington
people,weapons
people,without
people,witnessed
people,worshipping
people,wounded
people,wounding
people,write
people,youtube
police,abuse
police,abuses
police,academy
police,accounts
police,added
police,agencies
police,allege
police,alleged
police,allegedly
police,also
police,ambiguous
police,approached
police,around
police,arrived
police,asked
police,backyard
police,baton
police,begin
police,behavior
police,behind
police,believe
police,biases
police,bicycles
police,black
police,body
police,broke
police,brutality
police,california
police,called
police,capt
police,career
police,chase
police,chief
police,chose
police,civilians
police,claiming
police,commissioner
police,committed
police,communities
police,complete
police,confirmed
police,continued
police,convoy
police,corruption
police,cruiser
police,custody
police,dash
police,dashboard
police,daughter
police,death
police,department
police,departments
police,described
police,detective
police,detectives
police,discovered
police,distributed
police,encounter
police,encounters
police,especially
police,estimate
police,fatal
police,ferguson
police,files
police,fired
police,force
police,forces
police,found
police,freed
police,ground
police,helicopter
police,helping
police,hours
police,identified
police,initially
police,internal
police,interrupted
police,investigate
police,investigating
police,investigation
police,justified
police,killed
police,killing
police,killings
police,kinds
police,known
police,lab
police,last
police,leaders
police,less
police,lieutenant
police,london
police,maj
police,march
police,marched
police,misconduct
police,mountain
police,muted
police,name
police,national
police,need
police,north
police,officer
police,officers
police,official
police,opening
police,outside
police,pennsylvania
police,perjury
police,policy
police,presence
police,procedure
police,procedures
police,prompting
police,provide
police,public
police,pulse
police,pursuit
police,quick
police,records
police,reform
police,released
police,reluctant
police,remove
police,report
